id,value
flare.NintenDo.0,
flare.NintenDo.NintenDo,9.21732,
flare.MacBook,
flare.MacBook.0,
flare.MacBook.MacBook,1.45393,
flare.MacBook_Air,
flare.MacBook_Air.0,
flare.MacBook_Air.MacBook_Air,1.0285,
flare.Mac_Pro,
flare.Mac_Pro.0,
flare.Mac_Pro.Mac_Pro,0.43938,
flare.Surface,
flare.Surface.0,
flare.Surface.Surface,1.48976,
flare.LG_V6,
flare.LG_V6.0,
flare.LG_V6.LG_V6,0.03696,
flare.Huawei,
flare.Huawei.0,
flare.Huawei.Huawei,0.21875,
flare.saomi,
flare.saomi.0,
flare.saomi.saomi,0.0973,
id,value
flare,
flare.iPhone_4,
flare.iPhone_4.0,
flare.iPhone_4.iPhone_4,0.31718,
flare.iPhone_5,
flare.iPhone_5.0,
flare.iPhone_5.iPhone_5,0.73771,
flare.iPhone_6,
flare.iPhone_6.0,
flare.iPhone_6.iPhone_6,5.48008,
flare.iPhone_6Plus,
flare.iPhone_6Plus.0,
flare.iPhone_6Plus.iPhone_6Plus,0.65512,
flare.iPhone_7,
flare.iPhone_7.0,
flare.iPhone_7.iPhone_7,19.38244,
flare.iPhone_7Plus,
flare.iPhone_7Plus.0,
flare.iPhone_7Plus.iPhone_7Plus,6.98154,
flare.iPhone_8,
flare.iPhone_8.0,
flare.iPhone_8.iPhone_8,100,
flare.iPhone_8Plus,
flare.iPhone_8Plus.0,
flare.iPhone_8Plus.iPhone_8Plus,13.99061,
flare.iPhone_X,
flare.iPhone_X.0,
flare.iPhone_X.iPhone_X,80.90419,
flare.Galaxy_s3,
flare.Galaxy_s3.0,
flare.Galaxy_s3.Galaxy_s3,0.48276,
flare.iPad,
flare.iPad.0,
flare.iPad.iPad,5.03013,
flare.AppleWatch,
flare.AppleWatch.0,
flare.AppleWatch.AppleWatch,4.23546,
flare.GalaxyNote_4,
flare.GalaxyNote_4.0,
flare.GalaxyNote_4.GalaxyNote_4,0.79655,
flare.Galaxy_s5,
flare.Galaxy_s5.0,
flare.Galaxy_s5.Galaxy_s5,0.77203,
flare.GalaxyNote_5,
flare.GalaxyNote_5.0,
flare.GalaxyNote_5.GalaxyNote_5,0.79655,
flare.Galaxy_s6,
flare.Galaxy_s6.0,
flare.Galaxy_s6.Galaxy_s6,2.36326,
flare.GalaxyNote_7,
flare.GalaxyNote_7.0,
flare.GalaxyNote_7.GalaxyNote_7,0.94138,
flare.Galaxy_s8,
flare.Galaxy_s8.0,
flare.Galaxy_s8.Galaxy_s8,24.24436,
flare.GalaxyNote_8,
flare.GalaxyNote_8.0,
flare.GalaxyNote_8.GalaxyNote_8,71.20976,
flare.Galaxy_s9,
flare.Galaxy_s9.0,
flare.Galaxy_s9.Galaxy_s9,5.8825,
flare.Galaxy_a7,
flare.Galaxy_a7.0,
flare.Galaxy_a7.Galaxy_a7,2.30027,
flare.Galaxy_Tab,
flare.Galaxy_Tab.0,
flare.Galaxy_Tab.Galaxy_Tab,3.47587,
flare.Galaxy_Gear,
flare.Galaxy_Gear.0,
flare.Galaxy_Gear.Galaxy_Gear,1.71568,
flare.NintenDo,
flare.NintenDo.0,
flare.NintenDo.NintenDo,9.21732,
flare.MacBook,
flare.MacBook.0,
flare.MacBook.MacBook,1.45393,
flare.MacBook_Air,
flare.MacBook_Air.0,
flare.MacBook_Air.MacBook_Air,1.0285,
flare.Mac_Pro,
flare.Mac_Pro.0,
flare.Mac_Pro.Mac_Pro,0.43938,
flare.Surface,
flare.Surface.0,
flare.Surface.Surface,1.48976,
flare.LG_V6,
flare.LG_V6.0,
flare.LG_V6.LG_V6,0.03696,
flare.Huawei,
flare.Huawei.0,
flare.Huawei.Huawei,0.21875,
flare.saomi,
flare.saomi.0,
flare.saomi.saomi,0.0973,
